Country Name,gdp
Aruba,27.6393569688502
Africa Eastern and Southern,4.3004408275946
Afghanistan,-20.7388393676343
Africa Western and Central,3.97631746525985
Angola,1.19921052145153
Albania,8.90852781831182
Andorra,8.28719978108489
Arab World,3.73264556603135
United Arab Emirates,4.35475529921305
Argentina,10.7180099337095
Armenia,5.80000000000001
American Samoa,-0.782472613458523
Antigua and Barbuda,8.1917184618173
Australia,2.11183088925151
Austria,4.23786673253257
Azerbaijan,5.61645102853028
Burundi,3.09999999999975
Belgium,6.85099562281208
Benin,7.1554516457574
Burkina Faso,6.93786051737202
Bangladesh,6.93867912442445
Bulgaria,7.6617480742932
Bahrain,2.66970871448231
Bahamas The,16.9844904756948
Bosnia and Herzegovina,7.39165262555947
Belarus,2.43886608142535
Belize,17.8624478393742
Bermuda,3.01381643857819
Bolivia,6.11137272458573
Brazil,4.98884970066018
Barbados,-0.782841690641717
Brunei Darussalam,-1.59076260099606
Bhutan,4.42136740220592
Botswana,11.8703583151425
Central African Republic,0.982920000000064
Canada,5.01180087532744
Switzerland,5.39188804141473
Channel Islands,8.64676971657032
Chile,11.7374310662749
China,8.44846941628141
Cote d'Ivoire,6.99999999441097
Cameroon,3.33885747179505
Congo Dem. Rep.,6.20015401075946
Congo Rep.,1.01507096607732
Colombia,11.0161932669779
Comoros,2.11219557695527
Cabo Verde,5.61508262717601
Costa Rica,7.93576224703865
Caribbean small states,5.87897935202028
Cuba,1.25369342501311
Curacao,4.18371193053544
Cayman Islands,4.02866385850767
Cyprus,9.91130820807223
Czechia,3.55302130899085
Germany,3.16381994194575
Djibouti,4.52234774643702
Dominica,6.8905494167316
Denmark,6.8445219018344
Dominican Republic,12.2719902347896
Algeria,3.39999999973611
Ecuador,4.23525124172572
Egypt Arab Rep.,3.29064601202211
Spain,6.40317361484541
Estonia,8.01346292400842
Ethiopia,5.64153071734657
Finland,3.17092861953763
Fiji,-4.88103605578388
France,6.43520962104938
Faroe Islands,5.75555052732079
Micronesia Fed. Sts.,-2.02429149797571
Gabon,1.52682013421703
United Kingdom,8.67490411442573
Georgia,10.4655371977056
Ghana,5.07646643533542
Guinea,3.90000000048747
Gambia The,4.26549216158563
Guinea-Bissau,3.80000243004048
Equatorial Guinea,0.263454375957011
Greece,8.37994378358083
Grenada,4.68747816934534
Greenland,1.29021048770599
Guatemala,8.0024080363912
Guam,1.05809542822919
Guyana,20.0599975568418
Honduras,12.5340960157739
Croatia,13.7849466417964
Haiti,-1.79823988931486
Hungary,7.08572084592274
Indonesia,3.70305535690933
India,9.05027790869941
Ireland,15.1252197949572
Iran Islamic Rep.,4.71977773157164
Iraq,1.5833933630431
Iceland,4.50773501940634
Israel,8.61199034846989
Italy,8.31376031801125
Jamaica,4.6014245042592
Jordan,3.65564191030398
Japan,2.14248736902735
Kazakhstan,4.29999999729456
Kenya,7.59048947333467
Kyrgyz Republic,5.50700762839922
Cambodia,3.0263893638939
Kiribati,7.86516853932584
St. Kitts and Nevis,-0.891539866098597
Korea Rep.,4.30473481906969
Kuwait,1.14697233872904
Lebanon,-7.00123862514116
Liberia,4.98671283481617
Libya,31.3725154401954
St. Lucia,12.2299055478083
Sri Lanka,3.51222455549778
Lesotho,1.85267852107842
Lithuania,6.28471003860921
Luxembourg,7.16840198697749
Latvia,6.73173527824665
Macao SAR China,23.5355669383932
St. Martin (French part),4.90000000000002
Morocco,8.02098437000988
Monaco,21.8673711058481
Moldova,13.9299997889786
Madagascar,5.73961573854336
Maldives,37.6871922659308
Mexico,5.83782952301841
Marshall Islands,1.11230090181571
North Macedonia,5.5060164611849
Mali,3.05261356942125
Malta,12.297966778843
Myanmar,-12.0163721451611
Montenegro,13.0434642521552
Mongolia,1.63676957736662
Mozambique,2.37743248203482
Mauritania,0.742715499632851
Mauritius,3.40379867207142
Malawi,2.75140260887528
Malaysia,3.29764100831838
Namibia,3.52465798146424
New Caledonia,-2.09999999762849
Niger,1.38359636202017
Nigeria,3.64718654072446
Nicaragua,10.3468976209071
Netherlands,6.19185710427116
Norway,3.89839906700269
Nepal,4.838149614115
Nauru,3.2520325203252
New Zealand,5.16784735916997
Oman,3.09227668737446
Pakistan,6.51388575852702
Panama,15.835765045402
Peru,13.4175302909947
Philippines,5.71473313483246
Palau,-13.7220893214838
Papua New Guinea,-0.780328796906943
Poland,6.93498038387065
Puerto Rico,0.432646953579919
Portugal,5.73743721854339
Paraguay,4.01673731780312
West Bank and Gaza,7.01198227592003
French Polynesia,2.09478896837454
Qatar,1.62684672468288
Romania,5.70889455766321
Russian Federation,5.61429037578345
Rwanda,10.8757712506973
South Asia,8.25459047504098
Saudi Arabia,4.32610467585843
Sudan,-1.8685204827207
Senegal,6.5396737259742
Singapore,8.88235399664532
Solomon Islands,-0.569742892674313
Sierra Leone,4.10470008884118
El Salvador,11.1753370825566
San Marino,8.46307184428878
Somalia,3.30762095231761
Serbia,7.72594777674031
Sub-Saharan Africa,4.15309518513116
Small states,4.34748457456271
Sao Tome and Principe,1.89929891337832
Suriname,-2.43538583612838
Slovak Republic,4.78914645941862
Slovenia,8.22849988578498
Sweden,6.14702464708019
Eswatini,10.6833371476002
Sint Maarten (Dutch part),4.57759800311091
Seychelles,5.42682275214648
Syrian Arab Republic,1.29973808951831
Turks and Caicos Islands,9.00000000000001
Chad,-1.1999905246095
Togo,5.99156914603942
Thailand,1.49209523545821
Tajikistan,9.40000000022746
Turkmenistan,4.50000002604101
Timor-Leste,5.31553743115596
Tonga,-2.66750617523127
Trinidad and Tobago,-1.03744680680525
Tunisia,4.4054753864996
Turkiye,11.4393847446421
Tuvalu,1.8041359113616
Tanzania,4.32138429480482
Uganda,3.53658034070294
Ukraine,3.4456255827111
Uruguay,5.27655886746021
United States,5.94548476122172
Uzbekistan,7.40336813639082
St. Vincent and the Grenadines,0.795293934587079
Virgin Islands (U.S.),2.85420416559528
Viet Nam,2.56156410670985
Vanuatu,0.648653484834938
Samoa,-7.07883094291508
Kosovo,10.7456567508925
South Africa,4.70306206389499
Zambia,6.23492204190059
Zimbabwe,8.46801690894254